Year,Month,Month_Number,Data_Item,Value,Units,Source
2024,February,2,Ground chuck retail price,5.213,Dollars per pound,BLS
2024,March,3,Ground chuck retail price,5.421,Dollars per pound,BLS
2024,April,4,Ground chuck retail price,5.277,Dollars per pound,BLS
2024,May,5,Ground chuck retail price,5.331,Dollars per pound,BLS
2024,June,6,Ground chuck retail price,5.364,Dollars per pound,BLS
2024,July,7,Ground chuck retail price,5.47,Dollars per pound,BLS
2024,August,8,Ground chuck retail price,5.638,Dollars per pound,BLS
2024,September,9,Ground chuck retail price,5.576,Dollars per pound,BLS
2024,October,10,Ground chuck retail price,5.586,Dollars per pound,BLS
2024,November,11,Ground chuck retail price,5.605,Dollars per pound,BLS
2024,December,12,Ground chuck retail price,5.576,Dollars per pound,BLS
2025,January,1,Ground chuck retail price,5.495,Dollars per pound,BLS
2025,February,2,Ground chuck retail price,5.744,Dollars per pound,BLS
2025,March,3,Ground chuck retail price,5.854,Dollars per pound,BLS
2025,April,4,Ground chuck retail price,5.996,Dollars per pound,BLS
2025,May,5,Ground chuck retail price,6.018,Dollars per pound,BLS
2025,June,6,Ground chuck retail price,6.103,Dollars per pound,BLS
2025,July,7,Ground chuck retail price,6.338,Dollars per pound,BLS
2025,August,8,Ground chuck retail price,6.626,Dollars per pound,BLS
2025,September,9,Ground chuck retail price,6.326,Dollars per pound,BLS
2025,October,10,Ground chuck retail price,NA,Dollars per pound,BLS
2025,November,11,Ground chuck retail price,6.504,Dollars per pound,BLS
2025,December,12,Ground chuck retail price,6.521,Dollars per pound,BLS
2026,January,1,Ground chuck retail price,6.693,Dollars per pound,BLS
2026,February,2,Ground chuck retail price,6.703,Dollars per pound,BLS
2024,February,2,Ground beef retail price,5.132,Dollars per pound,BLS
2024,March,3,Ground beef retail price,5.132,Dollars per pound,BLS
2024,April,4,Ground beef retail price,5.236,Dollars per pound,BLS
2024,May,5,Ground beef retail price,5.148,Dollars per pound,BLS
2024,June,6,Ground beef retail price,5.472,Dollars per pound,BLS
2024,July,7,Ground beef retail price,5.497,Dollars per pound,BLS
2024,August,8,Ground beef retail price,5.577,Dollars per pound,BLS
2024,September,9,Ground beef retail price,5.67,Dollars per pound,BLS
2024,October,10,Ground beef retail price,5.588,Dollars per pound,BLS
2024,November,11,Ground beef retail price,5.628,Dollars per pound,BLS
2024,December,12,Ground beef retail price,5.605,Dollars per pound,BLS
2025,January,1,Ground beef retail price,5.545,Dollars per pound,BLS
2025,February,2,Ground beef retail price,5.625,Dollars per pound,BLS
2025,March,3,Ground beef retail price,5.79,Dollars per pound,BLS
